id,question,in_scope,relevance,category,source,original_question
q_0001,I want to close my credit card account — how do I go about doing that?,yes,in_scope,in_scope,ground_truth,closure
q_0002,Is it possible to view my account balance at an ATM?,no,irrelevant_match,atm_services,generated,Can I check my balance at an ATM?
q_0003,What's the best way to report a lost debit card to the bank?,no,irrelevant_match,debit_cards,generated,How do I report a lost debit card?
q_0004,Can I receive email notifications when deposits are made to my account?,no,irrelevant_match,account_alerts,generated,Can I get email alerts for deposits?
q_0005,What services can I access at this branch?,no,irrelevant_match,branch_services,generated,What services are available at the branch?
q_0006,Can you tell me which branch is nearest to my location?,no,irrelevant_match,branch_services,generated,Where's the closest branch to me?
q_0007,"I'm shopping for a new credit card and trying to compare perks. Can you explain how your rewards program works—how I earn points or cash back, where I can redeem them, and whether there are limits or expiration dates?",yes,in_scope,in_scope,synthetic,rewards programs
q_0008,Do you provide tax advisory services specifically for high-net-worth individuals?,no,out_of_scope,tax_services,generated,Do you offer tax advisory services for high net worth individuals?
q_0009,I've decided to close my credit card—can you walk me through the steps to formally shut down the account and tell me what I should do before it’s closed?,yes,in_scope,in_scope,ground_truth,closure
q_0010,What's the process for resetting my mobile banking password?,no,irrelevant_match,mobile_app,generated,How do I reset my mobile banking password?
q_0011,Do you provide trust services to assist with estate planning?,no,out_of_scope,estate_planning,generated,Do you offer trust services for estate planning?
q_0012,How much are the closing costs on an FHA refinance?,no,out_of_scope,mortgage_loans,generated,What are the closing costs for an FHA refinance?
q_0013,"I noticed interest charges on my recent statement—can you explain what those interest fees mean, how they're calculated, and when they're applied?",yes,in_scope,in_scope,synthetic,interest fees
q_0014,I'm planning to close my account with you — what steps do I need to take to cancel it and finalize the closure?,yes,in_scope,in_scope,ground_truth,account closure
q_0015,I'm thinking about closing my account—can you explain the steps I need to take to shut it down and whether there are any fees or conditions I should be aware of beforehand?,yes,in_scope,in_scope,ground_truth,account closure
q_0016,I'm reviewing my billing statement and need some clarification — how do I submit a statement inquiry or get help with questions about my account statement?,yes,in_scope,in_scope,synthetic,statement inquiries
q_0017,Do you know where the closest ATM is located?,no,irrelevant_match,atm_services,generated,Where's the nearest ATM location?
q_0018,Do you provide reverse mortgage loans for senior homeowners?,no,out_of_scope,mortgage_loans,generated,Do you offer reverse mortgages for seniors?
q_0019,How do I go about closing my credit card account?,yes,in_scope,in_scope,ground_truth,closure
q_0020,How can I avoid paying fees when I use an ATM?,no,irrelevant_match,atm_services,generated,How do I avoid ATM fees?
q_0021,"What fraud protection features do you provide to protect my card and account, and how do I activate them or report suspected unauthorized activity?",yes,in_scope,in_scope,synthetic,fraud protection
